file,mean_rt,std_rt,median_rt,min_rt,max_rt,accuracy
A00059063_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,48.148148148148145
A00059083_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,55.172413793103445
A00059083_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,31.25
A00059083_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,32.25806451612903
A00059578_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,37.03703703703704
A00059578_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,34.48275862068966
A00059578_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,26.666666666666668
A00059904_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,33.33333333333333
A00059904_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00059904_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,60.0
A00062029_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,40.0
A00062029_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,64.0
A00062029_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,42.857142857142854
A00062055_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,46.875
A00062055_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,34.61538461538461
A00062055_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,42.30769230769231
A00062125_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,28.57142857142857
A00062125_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,40.625
A00062125_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,44.0
A00062165_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,48.0
A00062165_SAIIT_2AFC_Block2.csv,87.0,0.0,87.0,87.0,87.0,48.0
A00062165_SAIIT_2AFC_Block3.csv,88.0,0.0,88.0,88.0,88.0,52.0
A00062219_SAIIT_2AFC_Block1.csv,86.0,0.0,86.0,86.0,86.0,42.857142857142854
